feature,coefficient
Nuclei_RadialDistribution_ZernikePhase_RFP_4_4,-0.02066229246129307
Cells_RadialDistribution_ZernikePhase_DAPI_7_5,0.03161447224498916
Cells_RadialDistribution_ZernikePhase_CY5_6_2,-0.030710108484969342
Cells_RadialDistribution_ZernikePhase_GFP_3_3,0.03879267636496592
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_4_2,-0.12350351153077987
Nuclei_RadialDistribution_RadialCV_RFP_1of4,0.039025543293717366
Cells_RadialDistribution_ZernikeMagnitude_CY5_8_0,-0.1022455205222358
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_7_1,0.010145690430721823
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_6_2,0.25493474540287053
Nuclei_AreaShape_Zernike_5_3,0.032749592219456614
Nuclei_RadialDistribution_MeanFrac_DAPI_2of4,0.37781142233747356
Cells_RadialDistribution_FracAtD_RFP_3of4,-0.0516004278292608
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_4_2,-0.16881593096010997
Cytoplasm_RadialDistribution_FracAtD_GFP_1of4,0.10206000392039258
Nuclei_AreaShape_Zernike_2_2,0.28592368806889573
Nuclei_RadialDistribution_ZernikePhase_GFP_4_2,0.033514756185650266
Nuclei_RadialDistribution_ZernikePhase_DAPI_6_6,-0.009100914074614504
Cells_RadialDistribution_ZernikePhase_RFP_7_1,0.007480885395869099
Nuclei_Correlation_Overlap_GFP_RFP,-0.0488676702713421
Nuclei_Texture_DifferenceEntropy_RFP_3_03_256,0.12648796795573775
Cells_Texture_Contrast_DAPI_3_01_256,-0.5596222353879305
Nuclei_AreaShape_Zernike_2_0,-0.17071060487826617
Cytoplasm_Intensity_StdIntensityEdge_GFP,-0.5351824002765903
Nuclei_Texture_Correlation_DAPI_3_03_256,0.41239807962107355
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_3,-0.026674442199061104
Cells_Texture_InfoMeas2_RFP_3_03_256,-0.15595149430472066
Cells_AreaShape_Zernike_6_2,-0.08628378078621436
Nuclei_RadialDistribution_ZernikePhase_DAPI_8_6,-0.014791598186016868
Nuclei_RadialDistribution_ZernikePhase_CY5_6_6,-0.013085167086297575
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_3_1,0.21332399698557905
Cells_Correlation_K_GFP_DAPI,-0.1416422212946909
Nuclei_RadialDistribution_FracAtD_GFP_4of4,-0.29241334189239865
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_3,0.08255337270087378
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_9_1,-0.025647386442970592
Nuclei_Correlation_RWC_DAPI_CY5,-0.3373812274624935
Nuclei_RadialDistribution_ZernikePhase_CY5_6_2,0.01466639610208963
Cells_Intensity_MaxIntensityEdge_RFP,-0.22828873086313145
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_3_1,-0.06522300369510532
Cytoplasm_Correlation_RWC_DAPI_RFP,0.03314227781173398
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_2_0,-0.2272552547332883
Nuclei_Intensity_MaxIntensity_GFP,0.3738292229318867
Cells_Texture_InfoMeas2_RFP_3_02_256,-0.047538039211729805
Nuclei_Correlation_Correlation_CY5_GFP,0.14804429454807888
Nuclei_RadialDistribution_ZernikePhase_DAPI_4_2,-0.010759471733056657
Cells_AreaShape_MedianRadius,0.33586635640442725
Cells_RadialDistribution_ZernikePhase_DAPI_9_9,0.01684567383312426
Cytoplasm_Intensity_IntegratedIntensity_DAPI,-0.4555171305751625
Nuclei_AreaShape_Zernike_4_4,0.07043384957110956
Nuclei_Correlation_RWC_RFP_DAPI,-0.04798286037528993
Cytoplasm_Texture_Correlation_GFP_3_03_256,0.04834577859140644
Nuclei_RadialDistribution_ZernikePhase_GFP_8_4,0.011063701582162985
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_6,-0.00800273109186816
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_4_0,0.020512987040512052
Nuclei_AreaShape_Zernike_4_2,0.037649028858474966
Nuclei_RadialDistribution_ZernikePhase_RFP_7_5,-0.004705239107676039
Cells_Intensity_MaxIntensityEdge_CY5,-0.03046465714404063
Cells_RadialDistribution_ZernikeMagnitude_RFP_8_0,-0.060652816798051595
Nuclei_Granularity_1_DAPI,-0.24884911437226
Cytoplasm_RadialDistribution_ZernikePhase_CY5_6_4,0.051179380598892855
Cells_RadialDistribution_MeanFrac_GFP_3of4,0.12053185733421017
Cells_RadialDistribution_ZernikePhase_DAPI_2_2,0.015280494256942235
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_2_2,0.21961487145669117
Nuclei_AreaShape_MajorAxisLength,0.8739159910668562
Nuclei_RadialDistribution_MeanFrac_CY5_3of4,0.7096971176159588
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_7_7,0.07060505360514535
Cells_RadialDistribution_ZernikePhase_GFP_5_3,0.03687226873231904
Cells_RadialDistribution_ZernikeMagnitude_RFP_8_2,-0.0731086482622965
