feature,coefficient_orig_model,coefficient_new_model
Nuclei_Correlation_RWC_RFP_CY5,0.8017117460326545,0.5697739566218325
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_6_0,-0.042996374044783,-0.04436855328243397
Nuclei_Texture_InfoMeas2_RFP_3_03_256,0.3333811100380306,0.09907416910310632
Cells_Intensity_MassDisplacement_RFP,0.01758215952340628,0.03128817733180042
Nuclei_RadialDistribution_RadialCV_GFP_3of4,-0.14033298064178248,-0.22500405137462584
Cells_RadialDistribution_ZernikeMagnitude_RFP_6_2,0.16406944556953773,0.15943357312595194
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_7_5,0.016311226108880618,-0.031157250775747602
Cells_AreaShape_Zernike_5_1,0.006130478597030484,-0.023335948932265226
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_0,0.07426930178582303,0.08036805044077709
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_8_2,0.2091137614114842,0.18838217450134973
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_5,-0.02211513541677508,-0.052473766724537144
Nuclei_AreaShape_Zernike_7_3,0.054056669601608175,0.07044383930241178
Cells_RadialDistribution_ZernikeMagnitude_CY5_9_3,-0.17711077129981195,-0.19715887302701918
Cytoplasm_Intensity_MassDisplacement_DAPI,-0.16410684364861688,-0.11277303311429147
Cells_RadialDistribution_ZernikePhase_DAPI_7_5,-0.0010035222682016432,0.03161447224498916
Nuclei_RadialDistribution_MeanFrac_CY5_3of4,1.4037670590400069,0.7096971176159588
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_6_2,0.06085216397364682,0.09101438594585304
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_4_2,0.03260098845840874,0.008170115017247319
Cells_AreaShape_Extent,-0.014119418326892298,0.0
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_7_3,-0.21410096607384657,-0.10536021360692857
Cytoplasm_RadialDistribution_MeanFrac_GFP_3of4,0.4212232877460353,0.3779517586274027
Nuclei_RadialDistribution_FracAtD_CY5_3of4,-1.5196392098852098,-1.1608047466670164
Nuclei_RadialDistribution_ZernikePhase_RFP_5_1,-0.02898227721225031,-0.012366218789304563
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_7_1,0.061499501175420586,-0.0642291269342228
Cytoplasm_RadialDistribution_MeanFrac_RFP_3of4,-0.03178703640518958,0.10597299405712596
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_3_1,0.1485015985508976,0.21332399698557905
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_3_3,0.0663200521932827,0.021420394826783706
Cells_RadialDistribution_ZernikePhase_CY5_2_2,-0.008563028377882769,-0.017871225944734004
Cytoplasm_RadialDistribution_MeanFrac_GFP_4of4,0.3315630602224445,0.321869699963532
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_0,0.005427624703783864,-0.02715030044204422
Nuclei_RadialDistribution_ZernikePhase_DAPI_9_5,-0.013658830583462414,0.0002804441778171809
Cytoplasm_Texture_Correlation_DAPI_3_02_256,-0.06289712427033492,-0.0518016788613982
Cytoplasm_RadialDistribution_RadialCV_GFP_3of4,-0.15304320153688006,-0.14627988784463442
Nuclei_RadialDistribution_RadialCV_CY5_1of4,-0.017906742192996372,-0.035016155742776
Nuclei_Correlation_Overlap_CY5_DAPI,0.15633705892081354,0.2316507143961274
Nuclei_RadialDistribution_RadialCV_CY5_4of4,-0.13386601786981772,-0.1286136484808332
Nuclei_Texture_Correlation_CY5_3_03_256,0.11139332066614467,0.1622483388245994
Nuclei_RadialDistribution_ZernikePhase_GFP_3_1,0.028047688033407982,0.007701743926422332
Cytoplasm_AreaShape_Zernike_6_0,-0.0705039718596857,-0.016114377937378774
Nuclei_Intensity_MADIntensity_RFP,0.22628127203211684,0.23092029028443412
Nuclei_Texture_Correlation_DAPI_3_00_256,-0.15719902923718776,0.00926168912600695
Nuclei_RadialDistribution_MeanFrac_DAPI_3of4,-0.30048808972805513,-0.03173782575339067
Nuclei_RadialDistribution_FracAtD_CY5_2of4,2.283346065365666,1.1612124551787928
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_5,0.04785651530630867,0.03323575785800654
Nuclei_RadialDistribution_ZernikePhase_CY5_9_9,-0.001341308435962453,-0.00197407944504651
Nuclei_RadialDistribution_ZernikePhase_RFP_5_3,-0.044009740717975206,-0.03891111024778503
Nuclei_Texture_Correlation_RFP_3_02_256,0.05789742985778811,-0.07034446074799619
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_9_9,-0.05843079568481977,-0.105419641544095
Cells_RadialDistribution_ZernikePhase_RFP_9_3,0.001058639918433185,-0.00888810300082855
Cytoplasm_AreaShape_FormFactor,-1.238244279451067,-0.7215504773250238
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_3,0.1578374143681374,0.08255337270087378
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_9_7,0.11795325876031387,0.1043467483498625
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_4_2,-0.18551351402851105,-0.08431183122057463
Cytoplasm_AreaShape_Zernike_7_1,0.025177249336959667,0.04199730943806253
Nuclei_Texture_InverseDifferenceMoment_RFP_3_01_256,-0.28358910757433703,-0.08287187608609173
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_6_0,0.05297806631682014,-0.00520469234036916
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_7_3,-0.10601771322867948,-0.031149585621211645
Nuclei_Texture_InverseDifferenceMoment_RFP_3_00_256,-0.4489064620874499,-0.13545183748575584
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_8,0.04771451123168319,0.03444354757778159
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_1,-0.009976817540741657,0.026872535334543677
